"시설명","일련번호","시설키","종목시설명","종목시설키","종목명","종목키","위치","면적(㎡)","규격","연면적(㎡)","문의전화","수용인원(정원)","이용대상","이용기간","이용시간","이용료(원)","용도","비고","대관링크주소","이미지파일","선별방법(선착순-1,추첨순-2)","유의사항","이용단위"
"한강시민공원광나루지구","569","GD10160PUEF","어린이야구장","GD10160PUEF107","야구","BB","","","","","02-485-3091","","만 13세이하 어린이","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","8000원","월 정액시 120000원","","http://yeyak.seoul.go.kr/main.web","","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원광나루지구","570","GD10160PUEF","성인야구장","GD10160PUEF108","야구","BB","","","","","02-3780-0501","","성인","","08:00~17:00","무료","이용일을 미포함하여 이용일로부터 365일 전 11:00시 ~ 이용당일까지 접수 / 이용일을 미포함하여 이용일로부터 7일 전까지 취소","","http://yeyak.seoul.go.kr/main.web","","2","인터넷 예약 후 사용신청서, 팀 명단을 제출, 미 제출 할 경우 시스템상에서 반려처리 / 매 일자별,회별(1회, 2회, 3회)로 신청은 가능, 각 회별 신청시에는 1단체명으로 1번만 신청, 신청서 한장에 매회별 신청시 날짜를 기재해주세요. 명단도 한번만제출","3시간"
"한강시민공원광나루지구","571","GD10160PUEF","축구장","GD10160PUEF109","축구","SO","","","","","02-485-3091","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","12000원","월 정액시 225000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/SOCCER/SOCCER003.JPG","","사용일 기준 30일전 10:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원광나루지구","572","GD10160PUEF","족구장","GD10160PUEF110","풋살","FS","","","","","02-485-3091","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원광나루지구","573","GD10160PUEF","테니스장","GD10160PUEF111","테니스","TN","","","","","02-3780-0808","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00,?1~3, 10~12월?: 07:00~18:00)","5000원","월 정액시 75000원","","","http://sports.seoul.go.kr//images/img_ground/so6.jpg","","사용일 기준 30일전 14:00~이용당일 / ","2시간"
"한강시민공원광나루지구","574","GD10160PUEF"," X-게임장","GD10160PUEF112","암벽등반","RC","","","","","02-3780-0501","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://hanganggis.seoul.go.kr/pic/XGAME/XGAME001.JPG","","",""
"한강시민공원광나루지구","575","GD10160PUEF","자전거공원","GD10160PUEF113","학교체육","SG","","","","","02-486-6094","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://spp.seoul.go.kr/cms/upload/photo/P0993/20091220145433884.jpg","","",""
"근로청소년복지관","576","GG10161PUEF","골프장","GG10161PUEF101","골프","GF","","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/gf1.jpg","","",""
"근로청소년복지관","577","GG10161PUEF","인조 잔디구장","GG10161PUEF102","축구","SO","","17300","105m × 68m","17300","02-899-0003","","","1.3월~10월(하절기) 주간06:00~18:00/야간 18:00~22:00 2.11월 익2월(동절기) 주간 07:00~17:00/야간 18:00~22:00","1.3월~10월(하절기) 주간06:00~18:00/야간 18:00~22:00 2.11월 익2월(동절기) 주간 07:00~17:00/야간 18:00~22:00","1.평일-주간:32.500/야간:60,000 2.주말,공휴일:주간:40,000/야간:65,000","","야간조명탑750Lux, 위생시설(화장실,샤워장), 본부석, 1,500관람석, 휴양대와 녹지공간","","","1","사용 중 모든 책임은 사용자(주최측)이 감수,쓰레기 처리 및 고성방가 금지","1시간"
"근로청소년복지관","578","GG10161PUEF","헬스장","GG10161PUEF103","헬스","HE","","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/he18.jpg","","",""
"동명근린공원인조잔디축구장","562","GD10159PUEF","축구장","GD10159PUEF101","축구","SO","야외","7140","105m*68m","7140","02-428-2020","","","","09:00~18:00","[축구경기]<br> 1.평일 1/2시간 (30,250 / 60,500원) <br> 2.공휴일(토요포함)1/2시간 (41,250/82,500원)]<br> [축구외 행사]<br> 1.반일사용-평일264,000원/주말및공휴일352,000원 <br> 2.전일사용-평일528,000원/주말및공휴일704,000원<br>","동절기,하절기에는 이용시간 수정","조깅트랙,그늘막,음수대,의자","","","인터넷예약","많은 구민의 사용을 위해 팀당 월 이용시간 제한 ","2시간,1시간,전일,반일사용"
"한강시민공원광나루지구","563","GD10160PUEF","수영장","GD10160PUEF101","수영","SW","","","","","02-470-9561","1200명","제한없음","7월~8월 개장","09:00~20:00","","","샤워실 및 탈의실 ","","http://hangang.seoul.go.kr/park_kwang/images/contents/intro02_1.jpg","","",""
"한강시민공원광나루지구","564","GD10160PUEF","게이트볼장","GD10160PUEF102","게이트볼","GB","","","","","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","http://hanganggis.seoul.go.kr/pic/GATEBALL/GATEBALL3.JPG","","",""
"구의야구공원 야구장","579","GJ10162PUEF","야구장","GJ10162PUEF101","야구","BB","","17330","필드(인조잔디) : 12,192㎡- 홈런거리 ㆍ중앙 : 120mㆍ중앙 : 파울라인 : 96m","335.84","02-3436-2889","","","","09:00 ~ 21:30(대관시간 : 1회차. 09:00~11:30 , 2회차. 12:00~14:30 , 3회차 . 15:00~17:30. 야간: 18:00~21:30 )","체육경기 : 평일70,000원(공,휴일 91,000원) 공공, 문화예술, 일반행사 : 평일주간 200,000원 [변경 적용요금- 게임당. 평일: 70,000원, 공.휴일: 91,000원, 야간 대관요금 260,000원] ","","","http://stadium.seoul.go.kr/reserve/reserve_04.html","http://sports.seoul.go.kr//images/img_ground/GJ10162PUEF.jpg","인터넷,전화?, 방문(심사를 거친후 예약이 완료됩니다.)","※ 토요일, 공휴일에 사용하는 경우에는 전용사용료의 100분의 30을 가산, 야간에 사용하는 경우에는 당일 주간 전용사용료의 100분의 30을 각각 가산함※ 단,체육경기 날짜를 제외한 날만 신청 접수 가능하며 토요일, 공휴일은 야간 대관을 하지않습니다, 매월 첫째,셋째주(수요일)도 가정의날 이므로 야간 대관을 할수 없음을 알려드립니다. -구의야구장은 서울시 야구협회(초,중,고등학교야구대회) 및 국민생활체육 전국야구연합회 주관 야구경기를 우선 대관하고있으니 양지하시기 바랍니다.",""
"구의야구공원 야구장","580","GJ10162PUEF","배드민턴장","GJ10162PUEF102","배드민턴","BM","","","","","","","","","","","","","","","","",""
"구의야구공원 야구장","581","GJ10162PUEF","체력단련기구","GJ10162PUEF103","학교체육","SG","","","","","","","","","","","","","","","","",""
"어린이대공원","582","GJ10163PUEF","물놀이장","GJ10163PUEF101","수영","SW","","","","","","","","4월~10월","10:00~18:00","","자유이용","","","http://www.sisul.or.kr/download/img_20091030.jpg","","",""
"어린이대공원","583","GJ10163PUEF","축구장","GJ10163PUEF102","축구","SO","","","100m*64m(국제규격), 천연잔디,관람석2000석","","02-450-9356","2000","축구경기(수요일,주말,주간,야간)","5월~11월(수,토,일 해당일 야간),7월은 제외",""," 120,000 ( 토 · 일 · 평일 야간 : 156,000)","","샤워실(라커,회의실,화장실 포함)","","http://www.sisul.or.kr/home_childrenpark/img/sub5/img_03.gif","선착순, 방문접수(신청서 제출) 예약"," 이용일 5일전 까지 이용료 납부(미 납부시 예약 자동취소) 접수기간 : 매월 20일~30일 까지 익월 이용분 접수 ※ 2010년 4월부터(5월분) 1개월 단위 접수 (7월은 제외) 잔디 성장시기(4월), 통기작업(7월), 동절기(12월~3월) 이용불가 ","1회 당 2시간 (오전10:00 ~ 12:00, 오후14:00 ~ 16:00, 야간19:00 ~ 21:00)"
"어린이대공원","584","GJ10163PUEF","테니스장","GJ10163PUEF103","테니스","TN","","","실내 1면, 실외 2면","","02-457-8718 ","","","","","실내:1면당/25,000원, 실외:1면당/8,000원","","","","http://sports.seoul.go.kr//images/img_ground/tn.jpg","접수방법 : 전화접수(02-457-8718) 또는 인터넷접수 ","전화접수(02-457-8718) 또는 인터넷접수 ","2시간당"
"어린이대공원","585","GJ10163PUEF","5:5경기장","GJ10163PUEF104","풋살","FS","","","40m X 20m 인조잔디(휀스높이 3~4m)","","02-457-8718","","","","5 : 5 경기장 ⇒ 06:30~08:30/09:00~11:00/11:30~13:30/14:00~16:00/16:30~18:30/19:00~21:00","평일:25,000원, 주말 및 공휴일:32,500원 -- 팀 구성원 비율 50% 이상이 청소년은 이용금액 30%할인, 어린이가 50%이상 어린이는 무료","","샤워실","http://www.sraf.kr/reserv_ok.html","http://www.sisul.or.kr/home_childrenpark/img/sub5/img_23.gif","어린이 · 유소년축구(12세 이하)(어린이 · 유소년 축구팀 포함) 시장배 어린이 축구대회(연례행사)일정을 우선배정후 잔여일에 한하여 이용을 허가합니다 일반인 신청순위은 선착순에 따릅니다. ","전화접수(02-457-8718) 또는 인터넷접수","2시간 30분"
"어린이대공원","586","GJ10163PUEF","3:3경기장","GJ10163PUEF105","풋살","FS","","","20m X 10m 인조잔디(휀스높이 3m)","","02-457-8718","","","","5 : 5 경기장 ⇒ 06:30~08:30/09:00~11:00/11:30~13:30/14:00~16:00/16:30~18:30/19:00~21:00","평일 : 15,000원, 토, 일, 공휴일 : 19,500원 --팀 구성원 비율 50% 이상이 청소년은 이용금액 30%할인, 어린이가 50%이상 어린이는 무료","","샤워실","http://www.sraf.kr/reserv_ok.html","http://www.sisul.or.kr/home_childrenpark/img/sub5/img_23.gif","어린이 · 유소년축구(12세 이하)(어린이 · 유소년 축구팀 포함) 시장배 어린이 축구대회(연례행사)일정을 우선배정후 잔여일에 한하여 이용을 허가합니다 일반인 신청순위은 선착순에 따릅니다. ","전화접수(02-457-8718) 또는 인터넷접수","2시간 30분"
"한강시민공원뚝섬지구","587","GJ10164PUEF","수영장","GJ10164PUEF101","수영","SW","","","","","02-452-5955 ","3400명","제한없음","6~8월","09:00~20:00","","자유이용","","","http://hangang.seoul.go.kr/park_kwang/images/contents/intro02_1.jpg","","",""
"한강시민공원뚝섬지구","588","GJ10164PUEF","게이트볼장","GJ10164PUEF102","게이트볼","GB","","1850","37*25","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","","",""
"한강시민공원뚝섬지구","589","GJ10164PUEF","농구장","GJ10164PUEF103","농구","BK","","","","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/BASKETBALL/BASKETBALL031.JPG","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원뚝섬지구","590","GJ10164PUEF","농구장","GJ10164PUEF104","농구","BK","","","","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/BASKETBALL/BASKETBALL025.JPG","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원뚝섬지구","591","GJ10164PUEF","배드민턴장","GJ10164PUEF105","배드민턴","BM","","","","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","2000원","월 정액시 30000원","","http://yeyak.seoul.go.kr/main.web","http://hangang.seoul.go.kr/park_dooksum/images/contents/enjoy02_10.jpg","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원뚝섬지구","592","GJ10164PUEF","족구장","GJ10164PUEF106","족구","FV","","","","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원뚝섬지구","593","GJ10164PUEF","체력단련장","GJ10164PUEF107","헬스","HE","","","","","02-3780-0521 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://spp.seoul.go.kr/cms/upload/photo/P0993/20091220150402087.jpg","","",""
"마장국민체육센터","325","SD10071PUMU","문화강좌실","SD10071PUMU103","유아체육(월단위)","CP","지상2층","74.25"," 1실, 2실 ","","","","","","","","","락커룸","","http://sports.seoul.go.kr/images/img_ground/https://www.sdmc.go.kr/images/sports/contents/img_facility23.gif","","",""
"성동구민종합체육센터","326","SD10072PUMU","소체육관","SD10072PUMU101","태권도","TD","지상3층","286","","286","02-2204-7612","","센터 측과 협의","","","45000","","1층 사무실","","http://sports.seoul.go.kr//images/img_ground/so8.jpg","","대관예약 가능한 지 확인 센터에서 확인 후 연락 연락 받으면 센터 방문수납 혹은 계좌입금 하면 예약완료","1시간 기준"
"성동구민종합체육센터","327","SD10072PUMU","헬스장","SD10072PUMU102","헬스","HE","지상3층","304.5"," 헬스기구 58개(헬스장,운동처방실)","","","","","","","","","남녀 샤워실","","http://sports.seoul.go.kr//images/img_ground/he25.jpg","","",""
"성동구민종합체육센터","328","SD10072PUMU","유아체능단 교실","SD10072PUMU103","유아체능단(분기별)","KS","지상2층","436.5"," 5개 교실","","","","","","","","","화장실","","http://sports.seoul.go.kr//images/img_ground/ks5.jpg","","",""
"성동구민종합체육센터","329","SD10072PUMU","대체육관","SD10072PUMU104","배드민턴","BM","지상1층","1134","","1134","02-2204-7612","50명 이상 수용가능","농구, 배구, 입시체육 등 각종 스포츠행사","","(월) 18:00~22:00 (수) 20:00~22:00 (토) 17:30~19:30 (일) 09:00~17:00","110000","","편의점","","http://sports.seoul.go.kr//images/img_ground/bm2.jpg","","2시간단위 사용 대관예약 가능한 지 확인 센터에서 확인 후 연락 연락 받으면 센터 방문수납 혹은 계좌입금 하면 예약완료","2시간"
"성동구민종합체육센터","330","SD10072PUMU","스쿼시장","SD10072PUMU105","스쿼시","SQ","지상1층","81.2","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/sq1.jpg","","",""
"성동구민종합체육센터","331","SD10072PUMU","에어로빅실","SD10072PUMU106","에어로빅","AE","지하1층","165","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/ae2.jpg","","",""
"성동구민종합체육센터","332","SD10072PUMU","수영장","SD10072PUMU107","수영","SW","지하2층","1152","?성인용(6레인) ,어린이용 ,유아용","1152","02-2204-7612","","센터 측과 협의","","","75000","","","","http://sports.seoul.go.kr//images/img_ground/sw16.jpg","","대관예약 가능한 지 확인 센터에서 확인 후 연락 연락 받으면 센터 방문수납 혹은 계좌입금 하면 예약완료","20명 기준"
"서대문구립다목적구장","333","SM10073PUMU","족구장","SM10073PUMU101","족구","FV","옥외","","6M х 14M 2면","","02-360-8560~1","","관내 거주하는 단체, 클럽, 동호회, 직장에 한 함","","이용시간 : 06:00~22:00 (총8회)  　 ① 06:00~08:00 ② 08:00~10:00 ③ 10:00~12:00 ④ 12:00~14:00 　 ⑤ 14:00~16:00 ⑥ 16:00~18:00 ⑦ 18:00~20:00 ⑧ 20:00~22:00","평일:4400/토,일,공휴일:5500/야간조명:3200(30분당)","","조명탑 8개","","http://www.sscmc.or.kr/images/sub_top_img3_302.gif","선착순 전화/팩스접수 (FAX 02)391-9031)(신청서 양식은 홈페이지참조)  ","구비서류는 FAX로 보내주세요. (FAX : 396-3929) *지켜주셔야 할 사항     - 취소 및 환불은 5일 이내에 신청 가능하며, 해당 양식은 담당자에게 문의(02-360-8569)하여 주시기 바랍니다. 　* 다목적구장은 유료로 사용하실 수 있습니다. ",""
"장충고등학교","455","JG10111PUSM","체육관","JG10111PUSM101","학교체육","SG","","","","","02-2233-9990","","화승클럽","","토 05:00~08:00","월 30만원","","","","http://sports.seoul.go.kr/images/img_ground/JG10111PUSM_GY.jpg","","*체육관 건물내 자율학습관을 야간까지 운영하여 평일은 개방치 않음           *10인이상 단체 이용만 체육관사용 허용",""
"청구초등학교(청구교육문화관)","456","JG10112PUSM","수영장","JG10112PUSM101","수영","SW","","","","","02-2238-3867","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/sw17.jpg","","",""
"청구초등학교(청구교육문화관)","457","JG10112PUSM","체육관","JG10112PUSM102","학교체육","SG","","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/gy7.jpg","","",""
"청운초등학교","458","JN10113PUSM","수영장","JN10113PUSM101","수영","SW","","","","","02-737-0218","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/JN10113PUSM_PO.jpg","","",""
"청운초등학교","459","JN10113PUSM","체육관","JN10113PUSM102","학교체육","SG","","","","","","","몽키/루키","","월, 수 16:00~17:00","월 50,000원","농구","","","http://sports.seoul.go.kr/images/img_ground/JN10113PUSM_GY.jpg","","",""
"면일초등학교","460","JR10114PUSM","운동장","JR10114PUSM101","축구","SO","","","","","02-437-8112","","","","","","","","","","","",""
"아현중학교(아현문화체육센터)","461","MP10115PUSM","수영장","MP10115PUSM101","수영","SW","","","","","02-365-4422","","","","","","","","","","","",""
"아현중학교(아현문화체육센터)","462","MP10115PUSM","헬스장","MP10115PUSM102","헬스","HE","","","","","02-365-4422","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/MP10115PUSM_HE.jpg","","",""
"아현중학교(아현문화체육센터)","463","MP10115PUSM","체육관","MP10115PUSM103","학교체육","SG","","","","","02-365-4422","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/MP10115PUSM_AE.jpg","","",""
"아현중학교(아현문화체육센터)","464","MP10115PUSM","에어로빅실","MP10115PUSM104","에어로빅","AE","","","","","02-365-4422","","","","","","","","","","","",""
"창천초등학교","465","MP10116PUSM","체육관","MP10116PUSM101","학교체육","SG","","","","","02-715-6381","","","","","","","찜질방,탈의실","","http://sports.seoul.go.kr/images/img_ground/MP10116PUSM_GY.jpg","","",""
"창천초등학교","466","MP10116PUSM","수영장","MP10116PUSM102","수영","SW","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/MP10116PUSM_PO.jpg","","",""
"창천초등학교","467","MP10116PUSM","에어로빅장","MP10116PUSM103","에어로빅","AE","","","","","","","","","","","","","","","","",""
"창천초등학교","468","MP10116PUSM","헬스장","MP10116PUSM104","헬스","HE","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/MP10116PUSM_HE.jpg","","",""
"당현초등학교","469","NW10117PUSM","체육관","NW10117PUSM101","학교체육","SG","","","","","02-932-0605","","맥스포츠","","월~금 20:00~21:00","월 300,000","","","","","","주민개방시간: 평일, 토요일 06:00~21:00, 공휴일, 일요일 08:00~20:00",""
"상경초등학교","470","NW10118PUSM","체육관","NW10118PUSM101","학교체육","SG","","","","","02-937-3147","","","","","","","","","","","",""
"상원중학교","471","NW10119PUSM","체육관","NW10119PUSM101","학교체육","SG","","","","","02-930-0762","","","","","","","","","","","",""
"수암초등학교","472","NW10120PUSM","체육관","NW10120PUSM101","학교체육","SG","","","","","02-3392-4127","","가재울배드민턴","","평일 06:00~08:00","월 80만원","","","","http://sports.seoul.go.kr/images/img_ground/NW10120PUSM_GY.jpg","","주민개방시간: 평일 06:00~08:00, 18:00~22:00, 토요일 06:00~08:00, 13:00~22:00, 일요일 06:00~08:00, 09:00~22:00",""
"중평중학교","473","NW10121PUSM","체육관","NW10121PUSM101","학교체육","SG","","","","","02-977-3026","","sky체대입시","","","월 836,550","","","","http://sports.seoul.go.kr/images/img_ground/NW10121PUSM_GY.jpg","","",""
"중현초등학교","474","NW10122PUSM","체육관","NW10122PUSM101","학교체육","SG","","","","","02-979-8433","","","","","","","","","","","",""
"하계중학교","475","NW10123PUSM","체육관","NW10123PUSM101","학교체육","SG","","","","","02-973-0006","","배드민턴클럽","","화,목,토,일 19:00~22:00","월 72만원","","","","http://sports.seoul.go.kr/images/img_ground/NW10123PUSM_GY.jpg","","동호회 사용자들이 직접 체육관 출입이 가능하도록 키 제공. 관리운영",""
"돈암초등학교","476","SB10124PUSM","헬스장","SB10124PUSM101","헬스","HE","","","","","02-928-2010","","","","","","","샤워장 및 사우나","","http://www.donamsports.org/company_img/1.gif","","",""
"돈암초등학교","477","SB10124PUSM","수영장","SB10124PUSM102","수영","SW","","","","","","","","","","","","","","http://www.donamsports.org/company_img/11.gif","","",""
"돈암초등학교","478","SB10124PUSM","G.X ROOM ","SB10124PUSM103","요가","YG","","","","","","","","","","","","","","http://www.donamsports.org/company_img/13.gif","","",""
"동신초등학교","479","SB10125PUSM","체육관","SB10125PUSM101","학교체육","SG","","","","","02-925-3442","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SB10125PUSM_GY.jpg","","",""
"숭덕초등학교","480","SB10126PUSM","체육관","SB10126PUSM101","학교체육","SG","","","지하 1층, 지상 2층","","02-911-1761","","","","","","","","","","","",""
"숭덕초등학교","481","SB10126PUSM","수영장","SB10126PUSM102","수영","SW","","","","","","","","","","","","","","","","",""
"숭덕초등학교","482","SB10126PUSM","헬스장","SB10126PUSM103","헬스","HE","","","","","","","","","","","","","","","","",""
"장위초등학교","483","SB10127PUSM","체육관","SB10127PUSM101","학교체육","SG","","","지하 1층, 지상 1층","","02-915-4325","","","","","","","샤워실, 락커룸","","http://sports.seoul.go.kr/images/img_ground/SB10127PUSM_GY.jpg","","",""
"장위초등학교","484","SB10127PUSM","수영장","SB10127PUSM102","수영","SW","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SB10127PUSM_PO.jpg","","",""
"장위초등학교","485","SB10127PUSM","헬스장","SB10127PUSM103","헬스","HE","","","","","","","","","","","","","","","","",""
"서일중학교(서일교육문화회관)","486","SC10128PUSM","수영장","SC10128PUSM101","수영","SW","","","","","02-3482-9663","","","","","","","셔틀버스","","http://sports.seoul.go.kr/images/img_ground/SC10128PUSM_PO.jpg","","교과수업 11시~15시 3 레인 사용",""
"서일중학교(서일교육문화회관)","487","SC10128PUSM","헬스장","SC10128PUSM102","헬스","HE","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SC10128PUSM_HE.jpg","","",""
"서일중학교(서일교육문화회관)","488","SC10128PUSM","체육관","SC10128PUSM103","학교체육","SG","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SC10128PUSM_GY.jpg","","",""
"서일중학교(서일교육문화회관)","489","SC10128PUSM","에어로빅장","SC10128PUSM104","에어로빅","AE","","","","","","","","","","","","","","","","",""
"서일중학교(서일교육문화회관)","490","SC10128PUSM","운동장","SC10128PUSM105","축구","SO","","","","","","","","","","","","","","","","06시 ~ 23시까지 개방 중",""
"신동중학교(신동교육문화회관)","491","SC10129PUSM","수영장","SC10129PUSM101","수영","SW","","","","","02-594-6455","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SC10129PUSM_PO.jpg","","",""
"신동중학교(신동교육문화회관)","492","SC10129PUSM","헬스장","SC10129PUSM102","헬스","HE","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/SC10129PUSM_FR.jpg","","",""
"신동중학교(신동교육문화회관)","493","SC10129PUSM","소체육관","SC10129PUSM103","요가","YG","","","","","","","","","","","","","","","","",""
"신동중학교(신동교육문화회관)","494","SC10129PUSM","대체육관","SC10129PUSM104","농구","BK","","","","","","","","","","","","","","","","",""
"언남중고등학교(언남문화체육센터)","495","SC10130PUSM","수영장","SC10130PUSM101","수영","SW","지하2층","","","","02-5777-7718","","","","1.토요일_10:00~12:00/14:00~16:00 2.일요일_10:00~12:00/14:00~16:00","120000","1개 레인기준 금액, 최대 2개 레인 대관 가능, 2,4주 일요일은 휴관일로 대관이 불가능","샤워장 및 사우나,주차장","","http://sports.seoul.go.kr//images/img_ground/sw13.jpg","1","","2시간"
"언남중고등학교(언남문화체육센터)","496","SC10130PUSM","다목적실","SC10130PUSM102","탁구","PP","지하1층","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/DA5.jpg","","",""
"언남중고등학교(언남문화체육센터)","497","SC10130PUSM","G.X ROOM ","SC10130PUSM103","요가","YG","지하1층","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/gx2.jpg","","",""
"언남중고등학교(언남문화체육센터)","498","SC10130PUSM","헬스장","SC10130PUSM104","헬스","HE","지하1층","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/he22.jpg","","",""
"언남중고등학교(언남문화체육센터)","499","SC10130PUSM","골프연습장","SC10130PUSM105","골프","GF","4층","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/gf2.jpg","","",""
"언남중고등학교(언남문화체육센터)","500","SC10130PUSM","아이비실","SC10130PUSM106","유아체육(월단위)","CP","5층","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/iv.jpg","","",""
